user_id,event_time,event_type,page_url,referrer,device,revenue
user_01381,2025-09-25 21:29:30.980170,page_view,/pricing,organic,mobile,0.0
user_01100,2025-10-19 01:53:31.980170,page_view,/contact,direct,mobile,0.0
user_00378,2025-08-17 03:59:21.980170,page_view,/contact,twitter,mobile,0.0
user_01563,2025-08-28 22:04:59.980170,page_view,/pricing,organic,mobile,0.0
user_00345,2025-10-29 06:32:55.980170,page_view,/products/widget,organic,desktop,0.0
user_01372,2025-09-20 12:30:05.980170,page_view,/products/widget,google,mobile,0.0
user_01311,2025-10-22 03:49:47.980170,begin_checkout,/blog/how-to,organic,mobile,0.0
user_01235,2025-10-11 23:10:59.980170,page_view,/contact,google,desktop,0.0
user_01850,2025-09-07 03:20:56.980170,page_view,/home,google,desktop,0.0
user_01578,2025-08-11 20:35:34.980170,page_view,/products,direct,mobile,0.0
user_00404,2025-08-18 01:45:33.980170,page_view,/,facebook,desktop,0.0
user_02469,2025-08-21 15:51:33.980170,remove_from_cart,/cart,direct,desktop,0.0
user_01508,2025-08-21 02:06:01.980170,page_view,/home,direct,mobile,0.0
user_01009,2025-08-03 01:52:54.980170,page_view,/cart,direct,mobile,0.0
user_02082,2025-08-18 17:19:41.980170,sign_up,/home,organic,desktop,0.0
user_00003,2025-08-11 18:53:28.980170,page_view,/products/gadget,twitter,desktop,0.0
user_01479,2025-08-10 07:01:26.980170,page_view,/products/gadget,google,desktop,0.0
user_02097,2025-08-23 13:02:52.980170,purchase,/checkout,google,mobile,21.52
user_00343,2025-10-18 07:31:24.980170,page_view,/blog/how-to,twitter,desktop,0.0
user_01246,2025-09-17 00:05:30.980170,page_view,/blog/how-to,organic,mobile,0.0
user_00581,2025-08-12 17:12:04.980170,begin_checkout,/products/gadget,direct,mobile,0.0
user_02094,2025-10-18 05:18:23.980170,page_view,/pricing,google,mobile,0.0
user_02252,2025-08-19 15:34:15.980170,purchase,/products,facebook,desktop,297.26
user_02276,2025-09-07 04:11:50.980170,page_view,/products/widget,organic,desktop,0.0
user_01968,2025-08-29 16:54:18.980170,page_view,/products/gadget,facebook,desktop,0.0
user_01455,2025-10-05 20:47:47.980170,page_view,/pricing,organic,mobile,0.0
user_01977,2025-09-17 08:37:29.980170,page_view,/,affiliate,desktop,0.0
user_01525,2025-09-16 18:17:24.980170,page_view,/pricing,google,desktop,0.0
user_01522,2025-10-25 11:35:48.980170,purchase,/checkout,google,mobile,119.06
user_01108,2025-08-06 20:07:46.980170,sign_up,/products/widget,google,mobile,0.0
user_00343,2025-10-30 01:34:30.980170,page_view,/blog/how-to,google,desktop,0.0
user_00648,2025-09-11 06:10:04.980170,purchase,/blog,facebook,desktop,90.73
user_00122,2025-09-15 18:52:58.980170,page_view,/blog/how-to,google,desktop,0.0
user_00464,2025-08-09 08:00:35.980170,begin_checkout,/cart,google,desktop,0.0
user_02116,2025-10-25 01:26:42.980170,begin_checkout,/checkout,direct,desktop,0.0
user_01165,2025-09-08 09:50:30.980170,page_view,/products/widget,direct,desktop,0.0
user_01660,2025-09-04 07:25:47.980170,begin_checkout,/cart,organic,mobile,0.0
user_01619,2025-09-06 19:59:14.980170,page_view,/products,direct,desktop,0.0
user_00184,2025-09-20 19:12:45.980170,page_view,/,facebook,mobile,0.0
user_02279,2025-10-22 22:22:06.980170,page_view,/pricing,direct,desktop,0.0
user_01346,2025-09-16 22:05:54.980170,page_view,/blog/how-to,google,desktop,0.0
user_00309,2025-09-05 20:21:57.980170,purchase,/cart,organic,mobile,21.76
user_02190,2025-08-23 03:24:38.980170,page_view,/home,facebook,mobile,0.0
user_01050,2025-08-02 21:03:22.980170,page_view,/,direct,desktop,0.0
user_01391,2025-08-17 18:11:48.980170,purchase,/cart,facebook,mobile,11.16
user_01943,2025-10-13 14:10:57.980170,page_view,/blog,direct,desktop,0.0
user_01678,2025-08-03 21:15:51.980170,begin_checkout,/cart,organic,desktop,0.0
user_00241,2025-10-02 18:28:34.980170,page_view,/products/widget,organic,mobile,0.0
user_00516,2025-09-19 08:16:03.980170,page_view,/products/gadget,newsletter,mobile,0.0
user_01300,2025-08-17 18:18:34.980170,page_view,/products/gadget,organic,mobile,0.0
user_00871,2025-08-20 09:06:31.980170,begin_checkout,/products,facebook,tablet,0.0
user_01292,2025-10-09 19:49:46.980170,page_view,/contact,direct,desktop,0.0
user_02408,2025-09-16 20:54:41.980170,page_view,/products/widget,organic,mobile,0.0
user_00899,2025-09-22 07:50:17.980170,page_view,/blog,organic,desktop,0.0
